# type;class;cmd;comment;msg type;ZZ;PBSB;NN;D1D2D3;elements;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment
get;ci;HydraulicMap;Hydraulikplan;MS;15;B509;3;0D2900;1;-;sd;1;uch;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;Language;Sprache;MS;15;B509;3;0D2600;1;-;sd;1;uch;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;HolidayPeriod;Ferien Zeitraum;MS;15;B509;3;0D4300;4;start1;sd;1,2,3;hda;-;-;-;Start 1;start2;sd;5,6,4;hda;-;-;-;Start 2;end1;sd;7,8,9;hda;-;-;-;Ende 1;end2;sd;11,12,10;hda;-;-;-;Ende 2
get;ci;HolidayRoomSetTemp;Ferien Solltemperatur;MS;15;B509;3;0D2200;1;-;sd;1,2;d2c;-;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;Password;Kennwort;MS;15;B509;3;0D2C00;4;pin1;sd;1;uch;-;-;-;Pin 1;pin2;sd;2;uch;-;-;-;Pin 2;pin3;sd;3;uch;-;-;-;Pin 3;pin4;sd;4;uch;-;-;-;Pin 4
get;ci;DesiredTemp;Solltemperatur;MS;15;B509;3;0D0500;1;-;sd;1,2;d2c;-;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;FlowTempSensor;Vorlauftemperatur Ist;MS;15;B509;3;0D0200;2;temp;sd;1,2;d2c;1.0;°C;-;Temperatur;sensor;sd;3;uch;-;-;-;Fühler;;;;;;;;;;;;;;;;
get;ci;HeatingTimeMaxHotWaterRequest;Heizzeit MAX bei Warmwasseranforderung;MS;15;B509;3;0D4D00;1;-;sd;1;uch;-;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;LoadingTimeMaxHeatRequest;Ladezeit MAX bei Heizanforderung;MS;15;B509;3;0D4C00;1;-;sd;1;uch;-;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;TempIncrease;Temperaturüberhöhung;MS;15;B509;3;0D2F00;1;-;sd;1,2;d2c;-;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;PreTurnOffTime;Vorabschaltzeit;MS;15;B509;3;0D2D00;1;-;sd;1;uch;-;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;FrostProtectionDelayTime;Frostschutzverzögerung;MS;15;B509;3;0D2E00;1;-;sd;1;uch;-;h;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;TempErrorDetectTime;Temperaturfehlererkennung;MS;15;B509;3;0D3300;1;-;sd;1;uch;-;h;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit2;Name Heizkreis 2;MS;15;B509;3;0D4108;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit4;Name Heizkreis 4;MS;15;B509;3;0D4118;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit5;Name Heizkreis 5;MS;15;B509;3;0D4120;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit6;Name Heizkreis 6;MS;15;B509;3;0D4128;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit7;Name Heizkreis 7;MS;15;B509;3;0D4130;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit8;Name Heizkreis 8;MS;15;B509;3;0D4138;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit9;Name Heizkreis 9;MS;15;B509;3;0D4140;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit10;Name Heizkreis 10;MS;15;B509;3;0D4148;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit11;Name Heizkreis 11;MS;15;B509;3;0D4150;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit12;Name Heizkreis 12;MS;15;B509;3;0D4158;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit13;Name Heizkreis 13;MS;15;B509;3;0D4160;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit14;Name Heizkreis 14;MS;15;B509;3;0D4168;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit15;Name Heizkreis 15;MS;15;B509;3;0D4170;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;NameHeatCircuit16;Name Heizkreis 16;MS;15;B509;3;0D4178;1;-;sd;1,10;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;PhoneNumber1;Telefonnummer 1;MS;15;B509;3;0D4200;1;-;sd;1,9;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;PhoneNumber2;Telefonnummer 2;MS;15;B509;3;0D4208;1;-;sd;1,9;str;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;HeatBufferAvailable;Bufferspeicher vorhanden;MS;15;B509;3;0D5C00;1;-;sd;1;uch;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
