# type;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;elements;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment
# Heizkreis 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;language;Sprachvariante;MS;15;B509;4;0E2600;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;holiday_period;Ferienzeitraum;MS;15;B509;15;0E4300;4;start1;sd;1,2,3;hda;-;-;-;Start 1;start2;-;4,5,6;hda;-;-;-;Start 2;end1;-;7,8,9;hda;-;-;-;Ende 1;end2;-;10,11,12;hda;-;-;-;Ende 2
#set;ci;holiday_cir2_temp;Heizkreis-Solltemperatur Ferien;MS;15;B509;5;0E2200;1;-;sd;-;???;-;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;password;Passwort Konfiguration;MS;15;B509;7;0E2C00;4;pin1;sd;1;bcd;1.000;-;-;Pin 1;pin2;-;2;bcd;1.000;-;-;Pin 2;pin3;-;3;bcd;1.000;-;-;Pin 3;pin4;-;4;bcd;1.000;-;-;Pin 4
set;ci;hw_wait_time;WW-Zeit max. bei Heizanforderung;MS;15;B509;4;0E4C00;1;-;sd;1;d1b;1.000;-;-;5-40 Minuten;;;;;;;;;;;;;;;;;;;;;;;;
#set;ci;temp_camber;Temperaturüberhöhung;MS;15;B509;5;0E2F00;1;-;sd;-;???;-;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;pre_off_time;Vorabschaltzeit (Minuten);MS;15;B509;4;0E2D00;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;freeze_wait;Frostschutz-Verzögerung (Stunden);MS;15;B509;4;0E2E00;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;temp_error;Temperaturfehlererkennung;MS;15;B509;4;0E3300;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;boiler;Pufferspeicher vorhanden;MS;15;B509;4;0E5C00;1;-;sd;1;bcd;1.000;-;-;0=Nein 1=Ja;;;;;;;;;;;;;;;;;;;;;;;;
#set;ci;yield_transfer;MitternachtÜbertragswert Energieertrag;MS;15;B509;7;0E8600;1;-;sd;-;???;-;kWh;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;ci;hw_heat_time;Heizzeit max. bei WW-Anforderung;MS;15;B509;4;0E4D00;1;-;sd;1;d1b;1.000;min;-;5-40 Minuten;;;;;;;;;;;;;;;;;;;;;;;;
