# type;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;elements;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment
# CI-Parameter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;hydraulic;Hydraulikschema;MS;15;B509;3;0D2900;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;language;Sprachvariante;MS;15;B509;3;0D2600;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;holiday_period;Ferienzeitraum;MS;15;B509;3;0D4300;4;start1;sd;1,2,3;hda;-;-;-;Start 1;start2;sd;5,6,4;hda;-;-;-;Start 2;end1;sd;7,8,9;hda;-;-;-;Ende 1;end2;sd;11,12,10;hda;-;-;-;Ende 2
get;ci;holiday_cir2_temp;Heizkreis-Solltemperatur Ferien;MS;15;B509;3;0D2200;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;password;Passwort Konfiguration;MS;15;B509;3;0D2C00;4;pin1;sd;1;bcd;1.000;-;-;Pin 1;pin2;sd;2;bcd;1.000;-;-;Pin 2;pin3;sd;3;bcd;1.000;-;-;Pin 3;pin4;sd;4;bcd;1.000;-;-;Pin 4
get;ci;cir2_set_temp;Heizkreis2-Solltemperatur;MS;15;B509;3;0D0500;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;cir2_flow_temp;Heizkreis2-Vorlauftemperatur;MS;15;B509;3;0D0200;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;hw_heat_time;Heizzeit max. bei WW-Anforderung;MS;15;B509;3;0D4D00;1;-;sd;1;d1b;1.000;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;hw_wait_time;WW-Zeit max. bei Heizanforderung;MS;15;B509;3;0D4C00;1;-;sd;1;d1b;1.000;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
get;ci;temp_camber;Temperaturüberhöhung;MS;15;B509;3;0D2F00;1;-;sd;1,2;bcd;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
